name,department,format
Project Deep Learning for Earth Observation (DL4EO) (Projekt)  ,34342200 FG Remote Sensing Image Analysis,Project
Projekt KI - symbolische Künstliche Intelligenz (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Logische Methoden der Informatik (Vorlesung)  ,34352200 FG Logik und Semantik,Lecture
Introduction to Modeling Collective Behavior,34342000 FG Robotic Interactive Perception,Seminar
Bachelor Seminar: Operating Complex IT-Systems (Seminar)  , 34331500 FG Distributed and Operating Systems (DOS),Seminar
Master Seminar: Operating Complex IT-Systems (Seminar)  , 34331500 FG Distributed and Operating Systems (DOS),Seminar
DCAITI: Simulation Vertiefung vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Compiling Techniques (Praktikum)  ,34353200 FG Programmiersprachen,Practical course
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 15,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
5G Evolution / 6G (Projekt)  ,34335400 FG S-Professur Architekturen der Vermittlungsknoten,Project
Einführung in die Künstliche Intelligenz (Vorlesung)  ,34342100 FG Intelligent Systems,Lecture
Angewandte Netzwerktechnologien (Projekt)  ,34331200 FG Telekommunikationsnetze,Project
Research Project Advanced Network Technologies (Projekt)  ,34331200 FG Telekommunikationsnetze,Project
Advanced Network Technologies (Projekt)  ,34331200 FG Telekommunikationsnetze,Project
AI and Cybersecurity (Integrierte Veranstaltung)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Integrated course
Advanced Cloud Prototyping (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Cloud Prototyping (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Hot Topics in Computer Vision C (Seminar)  ,34341600 FG Computer Vision and Remote Sensing,Seminar
DCAITI: Simulation vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
DCAITI: Projekt Vertiefung vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
DCAITI: Projekt vernetztes und automatisiertes Fahren (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
International Information Security Contest (Projekt)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Project
Entwurf eingebetteter Systeme (Projekt)  ,34351800 FG Software and Embedded Systems Engineering (SESE),Project
PGT: Project Meeting / Projektgruppentreffen (Doktorandenseminar INET) (Seminar)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Seminar
Einführung in die Künstliche Intelligenz (Übung)  ,34342100 FG Intelligent Systems,Practical tutorial
Selected Topics in Wireless Communications and Networking (Vorlesung)  ,34331800 FG Netzwerk- und Informationstheorie,Lecture
Introduction to Camera Geometry (Seminar)  ,34342000 FG Robotic Interactive Perception,Seminar
Wireless Networking Technologies (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Blockchain Prototyping (Projekt)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Project
Formale Sprachen und Automaten (Vorlesung)  ,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),Lecture
Compiling Techniques (Vorlesung)  ,34353200 FG Programmiersprachen,Lecture
Geschäftsprozesse (Übung),34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Agententechnologien: Grundlagen und Anwendungen (Integrierte Veranstaltung)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Integrated course
Julia for Machine Learning (Integrierte Veranstaltung),34352000 FG Maschinelles Lernen,Integrated course
Medical Image Processing (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
AMOS - Scrum Master (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Foundations of Data Literacy and Data Science (Vorlesung)  ,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 8,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Automatic Image Analysis (Übung)  ,34341600 FG Computer Vision and Remote Sensing,Practical tutorial
Systemprogrammierung (Übung)  , 34331500 FG Distributed and Operating Systems (DOS),Practical tutorial
Interdisziplinäres Medienprojekt (Projekt)  ,34355300 FG S-Professur Quality and Usability,Project
Geschäftsprozesse (Vorlesung)  ,34335700 FG S-Professur Service Centric Networking (SNET),Lecture
Data Science for Computer Scientists (Tutorium)  ,34353400 FG Data Integration and Data Preparation,Tutorial
Einführung in die Informatik - Vertiefung (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Motion Planning (Integrierte Veranstaltung)  ,34342300 FG Multi-Roboter-Systeme,Integrated course
Vehicle-2-X Communication (Vorlesung)  ,34332300 FG Open Distributed Systems (ODS),Lecture
Programmierung  skalierbarer Websysteme (Praktikum)  , 34331500 FG Distributed and Operating Systems (DOS),Practical course
Programmierpraktikum: Cyber-Physical Systems (PCPS) (Praktikum)  ,34351800 FG Software and Embedded Systems Engineering (SESE),Practical course
Information Systems Engineering (Oberseminar)  ,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Research seminar
Master Project Software Engineering of Embedded Systems (Projekt),34351800 FG Software and Embedded Systems Engineering (SESE),Project
Fortgeschrittene Programmierung mit Java (Prog2) (Vorlesung)  ,34335700 FG S-Professur Service Centric Networking (SNET),Lecture
Modelle zur Informationsverarbeitung im Gehirn (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Adaptive Filter (Vorlesung)  ,34331100 FG Nachrichtenübertragung,Lecture
Advanced Analog Integrated Circuit (Vorlesung)  ,34341200 FG Mixed Signal Circuit Design,Lecture
Advanced Topics in Data Integration (ATDISE) (Seminar),34353400 FG Data Integration and Data Preparation,Seminar
Randomized Algorithmics,34351100 FG Algorithmik und Komplexitätstheorie,Integrated course
Event-based Robot Vision (Übung)  ,34342000 FG Robotic Interactive Perception,Practical tutorial
Advanced Web Technologies II (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
AMOS - Product Owner Role (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
AMOS - Software Developer Role (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Advanced Web Technologies (Projekt)  ,34332300 FG Open Distributed Systems (ODS),Project
Public Key Cryptography (Vorlesung)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Data Science Project (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Quellencodierung (Vorlesung)  ,34331100 FG Nachrichtenübertragung,Lecture
Advanced Analog Integrated Circuit (Projekt)  ,34341200 FG Mixed Signal Circuit Design,Project
Open Distributed Systems (ODS) (Projekt),34332300 FG Open Distributed Systems (ODS),Project
AI Engineering of Nanonetworks (Integrierte Veranstaltung)  ,34331200 FG Telekommunikationsnetze,Integrated course
Hot Topics in Information Systems Engineering (Seminar),34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),Seminar
Autonome Fahrzeuge (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Applied Artificial Intelligence Project (Projekt)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Project
Modern Signal Processing for Communications (Vorlesung)  ,34331800 FG Netzwerk- und Informationstheorie,Lecture
Projekt Medienerstellung (5 LP) (Projekt)  ,34355300 FG S-Professur Quality and Usability,Project
Large Language Models in Human-Computer Interaction,34355300 FG S-Professur Quality and Usability,Seminar
Responsible Artificial Intelligence II (Vorlesung)  ,34352800 FG Maschinelles Lernen und Kommunikation,Lecture
Intelligente Software Systeme (Seminar)  ,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),Seminar
Diskrete Strukturen (Vorlesung)  ,34351100 FG Algorithmik und Komplexitätstheorie,Lecture
Fortgeschrittene Programmierung mit Java (Prog2) (Übung) Tutorium 10,34335700 FG S-Professur Service Centric Networking (SNET),Practical tutorial
Neue Webtechnologien (Programmierpraktikum)  ,34335700 FG S-Professur Service Centric Networking (SNET),Programming practical course
Machine Intelligence II (Vorlesung)  ,34351300 FG Neuronale Informationsverarbeitung,Lecture
Einführung in die IT-Sicherheit (Vorlesung)  ,34355100 FG S-Professur Security in Telecommunications (SecT),Lecture
Algorithms for Distributed Systems (Integrierte Veranstaltung)  ,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),Integrated course
Open Distributed Systems (ODS) (Seminar)  ,34332300 FG Open Distributed Systems (ODS),Seminar
Engineering Data for Machine Learning (Übung)  ,34353500 FG Management von Data Science-Prozessen,Practical tutorial
Applied Computer Vision (Vorlesung)  ,34341600 FG Computer Vision and Remote Sensing,Lecture
