name,credit,department,language,charge
Elektromagnetische Wellen,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Elektronik,6,34311900 FG Elektronische Systeme der Medizintechnik,de,"Kolossa, Dorothea"
Elektronik mit Praktikum,9,34311900 FG Elektronische Systeme der Medizintechnik,de,"Kolossa, Dorothea"
Elektronik und Mikroprozessortechnik,3,34311900 FG Elektronische Systeme der Medizintechnik,de,"Kolossa, Dorothea"
Elektronik und Signalverarbeitung,3,34311900 FG Elektronische Systeme der Medizintechnik,de,"Kolossa, Dorothea"
Embedded Systems Security Lab,6,34355100 FG S-Professur Security in Telecommunications (SecT),en,"Seifert, Jean-Pierre"
Energiespeichertechnologien für mobile Anwendungen,6,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Energy Storage Technologies,6,34312100 FG Elektrische Energiespeichertechnik (EET),en,"Kowal, Julia"
Engineering of Digital Transformation,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),de,"Albayrak, Sahin"
Entwicklung verteilter eingebetteter Systeme,3,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Entwurf Analoger Integrierter Schaltungen,6,34341200 FG Mixed Signal Circuit Design,"de, en","Gerfers, Friedel"
Entwurf eingebetteter Systeme,9,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Ergänzung zur Optischen Nachrichtentechnik,6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Burla, Maurizio"
Ethical Issues and Implications for Society,3,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Event-based Robot Vision,6,34342000 FG Robotic Interactive Perception,en,"Gallego, Guillermo"
Event-based Robot Vision PROJECT,9,34342000 FG Robotic Interactive Perception,en,"Gallego, Guillermo"
Extremale Graphentheorie,6,34352200 FG Logik und Semantik,en,"Kreutzer, Stephan"
Fachpraktikum M. Sc. Computer Engineering StuPO 2015,12,Fakultät IV,de,"Thewes, Roland"
"Fairness, Accountability, and Transparency in Machine Learning",6,34332900 FG Internet und Gesellschaft,en,"Berendt, Bettina"
Flying Robots,9,34342300 FG Multi-Roboter-Systeme,en,"Hönig, Wolfgang"
Fog Computing,6,34361700 FG Scalable Software Systems,en,"Bermbach, David"
Formale Sprachen und Automaten,6,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),de,"Nestmann, Uwe"
Forschungsseminar Data Integration and Data Preparation,3,34353400 FG Data Integration and Data Preparation,en,"Abedjan, Ziawasch"
Fortgeschrittene Programmierung mit Java,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Foundations of Data Literacy and Data Science,6,34353100 FG Sprache und Kommunikation in biologischen und künstlichen Systemen,en,"Deniz, Fatma"
Foundations of Data Science,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
"Foundations of Statistical Inference, Detection, and Estimation",6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Caire, Giuseppe"
Foundations of Stochastic Processes,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Caire, Giuseppe"
Fundamentals of Multi-Agent Technologies,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
Funktionswerkstoffe der Elektrotechnik,3,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Game Programming,9,34341300 FG Computer Graphics,en,"Alexa, Marc"
Game Theory,6,34352200 FG Logik und Semantik,"de, en","Kreutzer, Stephan"
Geschäftsprozesse,6,34335700 FG S-Professur Service Centric Networking (SNET),de,"Küpper, Axel"
Gestaltende Akustik,5,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
GPU Computing,6,34353200 FG Programmiersprachen,en,"Steuwer, Michel"
Graduate Research Project DM I,6,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
Graduate Research Project DM II,6,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
Graduate Research Project DM III,6,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
Graduate Research Project ML I (6 LP),6,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Graduate Research Project ML II,6,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Graduate Research Project ML III,6,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Graph Minors,9,34352200 FG Logik und Semantik,en,"Kreutzer, Stephan"
Großes Projekt Messdatenverarbeitung,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Group IV Photonics,3,34321700 FG Silizium-Photonik,en,"Zimmermann, Lars"
Grundlagen Batterietechnik,6,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Grundlagen der automatischen Spracherkennung,6,34311900 FG Elektronische Systeme der Medizintechnik,de,"Kolossa, Dorothea"
Grundlagen der elektronischen Messtechnik,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Grundlagen der Elektrotechnik (GLET),9,34311500 FG Lichttechnik,de,"Völker, Stephan"
Grundlagen der Elektrotechnik (Service),6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Grundlagen der Elektrotechnik für Medientechnik,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,de,"Caire, Giuseppe"
Grundlagen der Hochspannungstechnik,6,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Grundlagen der Kommunikationswissenschaft,10,34355300 FG S-Professur Quality and Usability,,"Möller, Sebastian"
Grundlagen der optischen Nachrichtentechnik,6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Burla, Maurizio"
Grundlagen der Photovoltaik,6,34325400 FG S-Professur Photovoltaik,de,"Rech, Bernd"
Grundlagen der Rechnersicherheit,6,34355100 FG S-Professur Security in Telecommunications (SecT),de,"Seifert, Jean-Pierre"
Grundlagen der Statistischen Nachrichtentheorie,6,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
Grundlagen des Softwaretestens,6,34332300 FG Open Distributed Systems (ODS),de,"Hauswirth, Manfred"
Grundlagen des Zivilrechts und Öffentlichen Rechts,9,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Grundlagen Digitaler Vernetzung,6,34332300 FG Open Distributed Systems (ODS),de,"Hauswirth, Manfred"
Grundzüge der Elektronik,3,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
Grundzüge der Technischen Optik,12,34311500 FG Lichttechnik,de,"Völker, Stephan"
Halbleiterbauelemente,6,34325800 FG S-Professur Technologie für Dünnschicht-Bauelemente,de,"Szyszka, Bernd"
Hardwarepraktikum,6,34341400 FG Architektur eingebetteter Systeme,de,"Juurlink, Bernardus"
Hardware Security Lab,6,34355100 FG S-Professur Security in Telecommunications (SecT),en,"Seifert, Jean-Pierre"
Herstellungstechnologien für Halbleitersensoren,6,34325000 FG Werkstoffe der hetero-Systemintegration,de,"Schneider-Ramelow, Martin"
High-Frequency Data Converter Techniques (HFDC),9,34341200 FG Mixed Signal Circuit Design,"de, en","Gerfers, Friedel"
High-Frequency Integrated Systems and Applications,3,34322000 FG Integrierte Breitband- und Höchstfrequenzschaltungen,en,"Carta, Corrado"
History of Computer Systems,3,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Hochfrequenzsysteme und -bauelemente,6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Heinrich, Wolfgang"
Hochfrequenztechnik,6,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Burla, Maurizio"
Hochfrequenztechnik mit Praktikum,9,34321100 FG Hochfrequenztechnik/Hochfrequenztechnik-Photonik,de,"Burla, Maurizio"
Hochspannungsprüf- und -messtechnik,6,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Hochspannungstechnik,12,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Hot Topics and Trends in Data Systems Colloquium,2,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
Hot Topics in Communication Systems,3,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
Hot Topics in Information Systems Engineering,3,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),en,"Tai, Stefan"
Hot Topics in Scalable Software Systems,3,34361700 FG Scalable Software Systems,en,"Bermbach, David"
Human-Computer Interaction,6,34353300 FG Mensch-Computer-Interaktion (HCI),en,"George, Ceenu"
Hybrid Systems,6,34311800 FG Regelungssysteme (Control Systems),en,"Raisch, Jörg"
Image and Video Coding,6,34332200 FG Medientechnik,"de, en","Wiegand, Thomas"
Image Processing and Learning for Earth Observation (IPL4EO),6,34342200 FG Remote Sensing Image Analysis,en,"Demir, Begüm"
Implementierung digitaler Systeme zur Echtzeit-Signalverarbeitung,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,de,"Kortke, Andreas"
IMSEM Seminar on Hot Topics in Information Management,3,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
Informatik Propädeutikum,3,34341900 FG Computational Psychology,de,"Maertens, Marianne"
Informatik und Gesellschaft,6,34332900 FG Internet und Gesellschaft,de,"Berendt, Bettina"
Informationssysteme und Datenanalyse,6,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),de,"Markl, Volker"
Information Theory and Applications,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Caire, Giuseppe"
Integrated Circuits,12,34341200 FG Mixed Signal Circuit Design,de,"Gerfers, Friedel"
Intelligent Cybersecurity Applications,9,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
Intelligente Software Systeme,3,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),de,"Albayrak, Sahin"
Intelligent Networks Research Colloquium,3,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),en,"Schmid, Stefan"
Interdisziplinäres Medienprojekt,10,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
International Information Security Contest,12,34355100 FG S-Professur Security in Telecommunications (SecT),en,"Seifert, Jean-Pierre"
Internet and Networked Systems Project,12,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),en,"Schmid, Stefan"
Internet and Network Measurement and Evaluation,6,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),en,"Schmid, Stefan"
Internet and Network Security,6,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),en,"Schmid, Stefan"
Internet of Services Lab (Project),9,34335700 FG S-Professur Service Centric Networking (SNET),en,"Küpper, Axel"
Internet of Services Lab (Seminar),3,34335700 FG S-Professur Service Centric Networking (SNET),en,"Küpper, Axel"
Introduction into Interactive Theorem Proving,3,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),en,"Nestmann, Uwe"
Introduction to Camera Geometry,3,34342000 FG Robotic Interactive Perception,en,"Gallego, Guillermo"
Introduction to Modeling Collective Behavior,3,34342000 FG Robotic Interactive Perception,en,"Gallego, Guillermo"
Introduction to SPICE-based Circuit Simulation Project,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
IP-Recht I (Gewerblicher Rechtsschutz und Urheberrecht),6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
IP-Recht II (Lizenzvertragsrecht),6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
ISE Programmierpraktikum,6,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),de,"Tai, Stefan"
IT Operations,6, 34331500 FG Distributed and Operating Systems (DOS),de,"Kao, Odej"
IT Security Lab: Vulnerability Assessment,6,34355100 FG S-Professur Security in Telecommunications (SecT),de,"Seifert, Jean-Pierre"
Journalismusforschung und Organisationskommunikation,10,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Julia for Machine Learning,6,34352000 FG Maschinelles Lernen,en,"Müller, Klaus-Robert"
Klassische Algorithmen der Computer-Graphik,3,34341300 FG Computer Graphics,de,"Alexa, Marc"
Kognitive Algorithmen,6,34352000 FG Maschinelles Lernen,de,"Müller, Klaus-Robert"
Kohärente optische Übertragungstechnik auf Basis von Silizium,6,34321700 FG Silizium-Photonik,de,"Zimmermann, Lars"
Kommunikationsnetze,6,34331200 FG Telekommunikationsnetze,de,"Dressler, Falko"
Kompression von Multimedia-Daten,9,34331100 FG Nachrichtenübertragung,de,"Sikora, Thomas"
"Künstliche Intelligenz: Grundlagen, Anwendungen und Seminar",9,34351600 FG Künstliche Intelligenz,de,"Albayrak, Sahin"
Künstliche Intelligenz: Grundlagen und Anwendungen,6,34351600 FG Künstliche Intelligenz,de,"Albayrak, Sahin"
Lab: Measurement of Non-Electrical Quantities,6,34311700 FG Sensorik und Aktuatorik / Messtechnik,en,"Thewes, Roland"
Lambda-Kalkül und Typ-Systeme,6,34351900 FG Modelle und Theorie Verteilter Systeme (MTV),de,"Nestmann, Uwe"
Large-scale Data Engineering,12,34352900 FG Big Data Engineering,en,"Böhm, Matthias"
Learning and Intelligent Systems: Project,9,34342100 FG Intelligent Systems,en,"Toussaint, Marc"
Leistungselektronik (6LP),6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Leistungselektronik für Erneuerbare Energien,6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
"Leistungselektronik - Schaltungstechnik, Entwurf und Anwendungen",6,34311200 FG Leistungselektronik,de,"Dieckerhoff, Sibylle"
Lichtmesstechnik,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Lichtquellen,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Lichttechnik,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
